isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	XLOC_059906	TCONS_00092590	HUWE1	ENST00000262854.10	sense	intergenic	82257	same_strand	upstream
1	XLOC_050675	TCONS_00078684	MICALL2	ENST00000493998.1	antisense	genic	0	overlapping	intronic
1	XLOC_035574	TCONS_00055051	JPH2	ENST00000372980.3	sense	intergenic	14782	same_strand	downstream
1	XLOC_017088	TCONS_00026288	ARHGAP5	ENST00000396582.6	antisense	intergenic	40770	convergent	downstream
1	XLOC_031906	TCONS_00049164	SP110	ENST00000477068.1	antisense	intergenic	38281	convergent	downstream
1	XLOC_058488	TCONS_00090733	EGFL7	ENST00000371699.5	antisense	intergenic	43013	divergent	upstream
1	XLOC_029801	TCONS_00045631	ATP6V1C2	ENST00000381661.3	sense	intergenic	697	same_strand	upstream
1	XLOC_041287	TCONS_00064203	OPA1	ENST00000392437.5	antisense	genic	0	overlapping	exonic
1	XLOC_030849	TCONS_00047401	BUB1	ENST00000302759.10	antisense	intergenic	144	divergent	upstream
1	XLOC_039810	TCONS_00061933	CNTN6	ENST00000446702.6	antisense	intergenic	26701	divergent	upstream
1	XLOC_053660	TCONS_00083419	FAM86B2	ENST00000262365.8	antisense	genic	0	containing	intronic
1	XLOC_046880	TCONS_00072747	CDKN2AIPNL	ENST00000458198.2	sense	intergenic	17153	same_strand	upstream
1	XLOC_040271	TCONS_00062658	BSN	ENST00000296452.4	antisense	intergenic	312	divergent	upstream
1	XLOC_053293	TCONS_00082839	MKLN1	ENST00000416992.6	antisense	genic	0	overlapping	exonic
1	XLOC_011296	TCONS_00017289	PEX5	ENST00000541850.1	sense	intergenic	18858	same_strand	downstream
1	XLOC_019736	TCONS_00030377	CLK3	ENST00000564353.5	antisense	genic	0	nested	exonic
1	XLOC_049426	TCONS_00076751	HDGFL1	ENST00000510882.3	antisense	intergenic	15510	convergent	downstream
1	XLOC_013905	TCONS_00042348	BUB3	ENST00000368865.8	sense	intergenic	12193	same_strand	downstream
1	XLOC_014262	TCONS_00021827	ZNF140	ENST00000355557.6	antisense	intergenic	1446	divergent	upstream
1	XLOC_047966	TCONS_00074503	HLA-DMB	ENST00000477537.1	antisense	intergenic	30320	convergent	downstream
1	XLOC_042469	TCONS_00066043	FREM3	ENST00000329798.5	antisense	genic	0	overlapping	exonic
1	XLOC_015063	TCONS_00023061	ANKRD10	ENST00000489973.6	antisense	genic	0	nested	exonic
1	XLOC_017556	TCONS_00026981	VASH1	ENST00000167106.8	antisense	genic	0	nested	exonic
1	XLOC_055206	TCONS_00085830	ADAM2	ENST00000379853.6	sense	genic	0	overlapping	exonic
1	XLOC_047780	TCONS_00074202	HIST1H2BH	ENST00000619466.2	sense	intergenic	3751	same_strand	downstream
1	XLOC_013271	TCONS_00020322	AQP2	ENST00000199280.3	antisense	genic	0	overlapping	exonic
1	XLOC_024156	TCONS_00037099	ALYREF	ENST00000505490.2	antisense	intergenic	4756	convergent	downstream
1	XLOC_047924	TCONS_00151507	PITPNC1	ENST00000580974.5	sense	genic	0	nested	intronic
1	XLOC_036945	TCONS_00057308	VPREB1	ENST00000403807.3	sense	intergenic	87044	same_strand	upstream
1	XLOC_055961	TCONS_00086995	CHRAC1	ENST00000220913.9	antisense	intergenic	10325	divergent	upstream
1	XLOC_059106	TCONS_00091538	SH3BGRL	ENST00000373212.5	sense	intergenic	29925	same_strand	downstream
1	XLOC_048648	TCONS_00075510	GPRC6A	ENST00000530250.1	antisense	intergenic	11384	divergent	upstream
1	XLOC_023982	TCONS_00036818	CD300A	ENST00000360141.7	sense	intergenic	15128	same_strand	downstream
1	XLOC_031459	TCONS_00048447	TTN	ENST00000342175.10	antisense	genic	0	overlapping	exonic
1	XLOC_048715	TCONS_00075604	RP3-403A15.5	ENST00000481848.6	antisense	intergenic	2217	convergent	downstream
1	XLOC_054247	TCONS_00084350	CRISPLD1	ENST00000262207.8	sense	intergenic	87817	same_strand	downstream
1	XLOC_057635	TCONS_00089460	IL11RA	ENST00000556531.5	antisense	genic	0	overlapping	exonic
1	XLOC_008528	TCONS_00013184	PHF21A	ENST00000323180.10	antisense	intergenic	50765	divergent	upstream
1	XLOC_060417	TCONS_00093281	TKTL1	ENST00000369912.2	antisense	intergenic	3610	convergent	downstream
1	XLOC_005175	TCONS_00008035	CAPN9	ENST00000354537.1	antisense	genic	0	overlapping	exonic
1	XLOC_046751	TCONS_00072556	DMXL1	ENST00000509902.5	antisense	genic	0	overlapping	intronic
1	XLOC_037616	TCONS_00058379	RGL4	ENST00000441897.5	antisense	intergenic	1222	divergent	upstream
1	XLOC_019017	TCONS_00029304	PCSK6	ENST00000557794.5	antisense	intergenic	37334	divergent	upstream
1	XLOC_019011	TCONS_00029290	ALDH1A3	ENST00000561338.5	sense	intergenic	3345	same_strand	upstream
1	XLOC_034367	TCONS_00053075	GPC1	ENST00000264039.6	antisense	intergenic	47945	divergent	upstream
1	XLOC_000284	TCONS_00000455	PADI1	ENST00000375471.4	sense	intergenic	7509	same_strand	upstream
1	XLOC_042009	TCONS_00065325	PARM1	ENST00000513238.5	sense	intergenic	50040	same_strand	upstream
1	XLOC_057956	TCONS_00089937	NXNL2	ENST00000478686.1	antisense	intergenic	42905	convergent	downstream
1	XLOC_037204	TCONS_00057739	MYH9	ENST00000216181.9	antisense	intergenic	547	divergent	upstream
1	XLOC_021481	TCONS_00033016	PRDM7	ENST00000569206.1	antisense	intergenic	51781	divergent	upstream
1	XLOC_034695	TCONS_00053596	HM13	ENST00000619859.1	sense	intergenic	2967	same_strand	downstream
1	XLOC_034124	TCONS_00052754	RPL37A	ENST00000491306.5	antisense	genic	0	overlapping	exonic
1	XLOC_020410	TCONS_00031444	MKL2	ENST00000572588.1	sense	intergenic	44984	same_strand	downstream
1	XLOC_011980	TCONS_00018341	GNS	ENST00000418919.6	antisense	intergenic	2932	convergent	downstream
1	XLOC_019140	TCONS_00029474	TRPM1	ENST00000542188.5	sense	intergenic	60566	same_strand	upstream
1	XLOC_010530	TCONS_00016144	P2RY2	ENST00000393597.6	antisense	intergenic	2385	divergent	upstream
1	XLOC_058993	TCONS_00091397	VSIG4	ENST00000427538.5	antisense	intergenic	1316	convergent	downstream
1	XLOC_051451	TCONS_00079937	DMTF1	ENST00000331242.11	sense	intergenic	41079	same_strand	upstream
1	XLOC_021291	TCONS_00032711	FANCA	ENST00000568983.5	antisense	genic	0	containing	intronic
1	XLOC_020183	TCONS_00031131	RPS2	ENST00000343262.8	antisense	genic	0	overlapping	exonic
1	XLOC_058292	TCONS_00090442	LHX2	ENST00000488674.2	antisense	intergenic	49409	convergent	downstream
1	XLOC_037718	TCONS_00058555	CABP7	ENST00000216144.3	antisense	intergenic	370	divergent	upstream
1	XLOC_018083	TCONS_00027827	TRPM1	ENST00000397795.6	antisense	genic	0	nested	exonic
1	XLOC_051527	TCONS_00080072	ASB4	ENST00000257621.4	sense	intergenic	4301	same_strand	upstream
1	XLOC_045902	TCONS_00071277	ADCY2	ENST00000338316.8	antisense	intergenic	89616	divergent	upstream
1	XLOC_053660	TCONS_00083421	FAM86B2	ENST00000262365.8	antisense	intergenic	14613	convergent	downstream
1	XLOC_037113	TCONS_00057601	MORC2	ENST00000445980.5	antisense	genic	0	overlapping	exonic
1	XLOC_052901	TCONS_00082225	CD36	ENST00000435819.5	antisense	genic	0	overlapping	intronic
1	XLOC_049714	TCONS_00077179	UNC5CL	ENST00000244565.7	sense	intergenic	3631	same_strand	downstream
